OBJECTID,CT20,LABEL,ShapeSTArea,ShapeSTLength,centroid_lat,centroid_lon,nearest_facility_id,nearest_facility_name,nearest_facility_distance_km,nearest_facility_distance_miles,count_within_1km,count_within_5km,count_within_10km,count_within_15km,count_within_25km,count_within_1mi,count_within_3mi,count_within_5mi,count_within_10mi,count_within_15mi
6212,402801,4028.01,19587559.24453147,22078.385539133702,34.055455170923075,-117.73274223504941,711,HERITAGE RECOVERY CENTER,12.173,7.564,0,0,0,1,2,0,0,0,1,2
6213,402803,4028.03,6784198.302131249,10582.253746440145,34.04785373868847,-117.74531722257795,711,HERITAGE RECOVERY CENTER,11.204,6.962,0,0,0,1,2,0,0,0,1,2
6214,402804,4028.04,14189019.025532344,16159.226345147925,34.04837982159698,-117.7322011904653,711,HERITAGE RECOVERY CENTER,12.367,7.685,0,0,0,1,2,0,0,0,1,2
6215,402902,4029.02,19861682.879066233,20771.779058760978,34.03400959056368,-117.74496900264083,711,HERITAGE RECOVERY CENTER,11.703,7.272,0,0,0,1,2,0,0,0,1,2
6216,402903,4029.03,17053651.164457988,16962.334747577348,34.03939331362689,-117.73360198003341,711,HERITAGE RECOVERY CENTER,12.496,7.765,0,0,0,1,2,0,0,0,1,2
6217,402904,4029.04,20543582.631572448,20771.829030118726,34.02608067467441,-117.73620506839751,711,HERITAGE RECOVERY CENTER,12.787,7.945,0,0,0,1,2,0,0,0,1,2
6218,403000,4030.00,26031458.97935879,25904.900868823457,34.037497777144104,-117.75721595256583,711,HERITAGE RECOVERY CENTER,10.511,6.531,0,0,0,1,2,0,0,0,1,2
6219,403305,4033.05,15947998.461945148,16251.109878532137,33.97794479598954,-117.84836565047188,711,HERITAGE RECOVERY CENTER,10.572,6.569,0,0,0,1,4,0,0,0,1,4
6220,403316,4033.16,31323211.228232097,28487.484516932935,34.03182051897373,-117.79859489860587,711,HERITAGE RECOVERY CENTER,7.466,4.639,0,0,1,1,4,0,0,1,1,4
6221,403317,4033.17,45106832.849781446,38918.44549517371,34.03762102650309,-117.7830935768169,711,HERITAGE RECOVERY CENTER,8.333,5.178,0,0,1,1,4,0,0,0,1,3
6222,403318,4033.18,36258881.60841789,30428.615112514937,34.03056102747219,-117.76528649366918,711,HERITAGE RECOVERY CENTER,10.151,6.308,0,0,0,1,2,0,0,0,1,2
6223,403319,4033.19,24047582.157238733,19931.018292463705,34.01133523606735,-117.81383810479919,711,HERITAGE RECOVERY CENTER,8.162,5.072,0,0,1,1,4,0,0,0,1,4
6224,403320,4033.20,42162026.53014719,29224.042181449993,34.00520550504981,-117.79635100045668,711,HERITAGE RECOVERY CENTER,9.675,6.012,0,0,1,1,4,0,0,0,1,4
6225,403321,4033.21,68509266.8728086,41258.107970490615,34.01709002459237,-117.7867891852351,711,HERITAGE RECOVERY CENTER,9.344,5.806,0,0,1,1,4,0,0,0,1,4
6226,403323,4033.23,33887173.18794568,28119.524895052742,33.99839621659499,-117.82395103041542,711,HERITAGE RECOVERY CENTER,8.974,5.576,0,0,1,1,4,0,0,0,1,4
6227,403324,4033.24,85633509.46839313,46754.89249236867,33.98266111267198,-117.81482342881728,711,HERITAGE RECOVERY CENTER,10.915,6.782,0,0,0,1,4,0,0,0,1,4
6228,403325,4033.25,184241977.90863365,84070.84613138436,33.959234770646376,-117.8255436974256,711,HERITAGE RECOVERY CENTER,13.036,8.1,0,0,0,1,4,0,0,0,1,4
6229,403326,4033.26,20641816.628345296,28079.02936305207,33.99731823982411,-117.8588337088452,711,HERITAGE RECOVERY CENTER,8.338,5.181,0,0,1,1,4,0,0,0,2,4
6230,403327,4033.27,95712656.98554164,59688.79591153944,34.01537232184909,-117.83637503044523,711,HERITAGE RECOVERY CENTER,6.79,4.219,0,0,1,1,4,0,0,1,2,4
6231,403328,4033.28,30037951.758213736,32118.49627820899,33.993342004838404,-117.83698733638232,711,HERITAGE RECOVERY CENTER,9.099,5.654,0,0,1,1,4,0,0,0,1,4
6232,403401,4034.01,24700325.160999805,31751.29605007075,34.013668843695584,-117.87023808081572,711,HERITAGE RECOVERY CENTER,6.54,4.064,0,0,1,2,4,0,0,1,3,4
6233,403402,4034.02,18698451.690432757,17632.480293272165,34.018019285806645,-117.85592206381025,711,HERITAGE RECOVERY CENTER,6.064,3.768,0,0,1,2,4,0,0,1,2,4
6234,403403,4034.03,41949527.63270165,43277.10975987339,34.03362620014197,-117.84029795187335,711,HERITAGE RECOVERY CENTER,4.786,2.974,0,1,1,2,4,0,1,1,2,4
6235,403404,4034.04,25738899.01883715,25244.975970983858,34.0284356040445,-117.8541501795016,711,HERITAGE RECOVERY CENTER,4.94,3.07,0,1,1,2,4,0,0,1,2,4
6236,403407,4034.07,50858683.85814996,37617.28592655169,34.038612722722476,-117.87266936785964,711,HERITAGE RECOVERY CENTER,3.833,2.382,0,1,1,2,4,0,1,1,3,4
6237,403408,4034.08,34118833.82909241,26149.635859437356,34.025457326892585,-117.88191558962923,711,HERITAGE RECOVERY CENTER,5.473,3.401,0,0,1,2,5,0,0,1,4,4
6238,403409,4034.09,50422527.76682398,38745.78356895605,34.04927949868611,-117.84580010602069,711,HERITAGE RECOVERY CENTER,3.018,1.875,0,1,1,2,4,0,1,1,2,4
